-166,-65,-1387,388,1002,-1610,107,-13,-43,4
-166,-65,-1387,-3,-488,-54,107,-13,-43,4
-166,-65,-1387,-3,-488,-54,118,-26,5,4
-214,-692,-1312,-3,-488,-54,118,-26,5,4
-214,-692,-1312,577,-460,51,118,-26,5,4
-214,-692,-1312,577,-460,51,111,-33,2,4
-214,-692,-1312,636,-493,52,111,-33,2,4
-279,38,8,636,-493,52,111,-33,2,4
-279,38,8,636,-493,52,-387,-18,30,4
-279,38,8,644,1001,7,-387,-18,30,4
-43,-712,2,644,1001,7,-387,-18,30,4
-43,-712,2,632,1026,19,-387,-18,30,4
-43,-712,2,632,1026,19,-380,-30,19,4
-43,-712,2,638,995,9,-380,-30,19,4
-487,-13,73,41,-463,-1650,114,-16,8,4
-176,-49,-1360,41,-463,-1650,114,-16,8,4
-176,-49,-1360,429,-386,-13,114,-16,8,4
-176,-49,-1360,429,-386,-13,-377,-17,16,4
-176,-49,-1360,637,1220,45,-377,-17,16,4
-273,32,61,637,1220,45,-377,-17,16,4
-273,32,61,637,1220,45,-390,-49,1078,4
-273,32,61,691,-424,-51,-390,-49,1078,4
-43,-705,45,691,-424,-51,-390,-49,1078,4
-43,-705,45,691,-424,-51,118,-35,23,4
-43,-705,45,695,1002,-1606,118,-35,23,4
-43,-705,45,695,1002,-1606,117,-35,26,4
-53,-687,30,695,1002,-1606,117,-35,26,4
-53,-687,30,686,-490,-13,117,-35,26,4
-53,-687,30,691,-504,-3,117,-35,26,4
-53,-687,30,691,-504,-3,112,-28,1067,4
-58,-706,64,691,-504,-3,112,-28,1067,4
-58,-706,64,689,1020,25,112,-28,1067,4
-58,-706,64,689,1020,25,106,-30,1064,4
-70,-696,64,689,1020,25,106,-30,1064,4
-70,-696,64,-25,1010,-18,106,-30,1064,4
-70,-696,64,-25,1010,-18,-387,-39,26,4
-110,-706,92,-25,1010,-18,-387,-39,26,4
-110,-706,92,-41,999,2,-387,-39,26,4
-110,-706,92,-41,999,2,103,-39,1067,4
-110,-706,92,-34,1006,15,103,-39,1067,4
-117,43,80,-34,1006,15,103,-39,1067,4
-117,43,80,-34,1006,15,-386,-22,1072,4
-117,43,80,-39,1008,22,-386,-22,1072,4
-116,53,-1175,-39,1008,22,-386,-22,1072,4
-116,53,-1175,-39,1008,22,108,-36,1067,4
-116,53,-1175,-31,1000,4,108,-36,1067,4
-116,53,-1175,-44,987,18,108,-36,1067,4
-111,32,84,-44,987,18,-386,-33,1069,4
-111,32,84,-44,988,10,-386,-33,1069,4
-111,32,84,-44,988,10,120,-43,1078,4
-58,-34,89,51,-81,69,-3740,75,1081,1
-58,-34,89,32,-65,-1451,-3740,75,1081,1
-58,-34,89,32,-65,-1451,-743,75,1081,1
-65,-22,76,32,-65,-1451,-743,75,1081,1
-65,-22,76,18,-72,-1451,-743,75,1081,1
-65,-22,76,18,-72,-1451,-737,75,1081,1
-65,-22,76,28,-70,-1463,-737,75,1081,1
-80,-19,66,28,-70,-1463,-737,75,1081,1
-80,-19,66,37,-82,-1463,-737,75,1081,1
-80,-19,66,37,-82,-1463,-273,75,1081,1
-73,-21,91,37,-82,-1463,-273,75,1081,1
-73,-21,91,37,-69,51,-273,75,1081,1
-73,-21,91,37,-69,51,-303,75,1081,1
-73,-21,91,25,-65,67,-303,75,1081,1
-124,-342,-1675,573,-383,67,-293,75,1081,1
-124,-342,-1675,52,-388,49,-293,75,1081,1
-124,-342,-1675,52,-388,49,-292,75,1081,1
-114,-51,-1653,52,-388,49,-292,75,1081,1
-39,56,97,573,-379,60,-292,75,1081,1
-109,-45,-1660,41,-396,67,-302,75,1081,1
-127,-40,-1669,41,-396,67,-4799,75,1081,1
-127,-40,-1669,570,-383,51,-4799,75,1081,1
-121,-44,-1682,53,-118,55,-5320,75,1081,1
-121,-44,-1682,53,-118,55,-321,75,1081,1
-121,-44,-1682,575,-106,-1461,-321,75,1081,1
-117,-43,-1670,575,-106,-1461,-321,75,1081,1
-117,-43,-1670,575,-106,-1461,-338,75,1081,1
-117,-43,-1670,574,-110,62,-338,75,1081,1
-117,-43,-1670,574,-107,43,-338,75,1081,1
-128,-49,-1677,574,-107,43,-309,75,1081,1
-116,-54,-1689,574,-107,43,-309,75,1081,1
-116,-54,-1689,54,-394,68,-309,75,1081,1
-116,-54,-1689,54,-394,68,-5891,75,1081,1
-116,-54,-1689,49,-120,39,-5891,75,1081,1
-116,-54,-1689,49,-120,39,-312,75,1081,1
-108,-53,-1689,49,-120,39,-312,75,1081,1
-108,-53,-1689,578,-110,59,-312,75,1081,1
-128,-64,-1690,578,-110,59,-312,75,1081,1
-128,-64,-1690,578,-110,59,-6090,75,1081,1
-128,-64,-1690,44,-379,54,-6090,75,1081,1
-128,-64,-1690,44,-379,54,-366,75,1081,1
-119,-41,-1666,41,-114,69,-366,75,1081,1
-119,-41,-1666,41,-114,69,-6375,75,1081,1
-119,-41,-1666,573,-382,33,-6375,75,1081,1
-108,-49,-1654,573,-382,33,-6375,75,1081,1
-108,-49,-1654,572,-122,-1462,-6375,75,1081,1
-108,-49,-1654,572,-122,-1462,-6384,75,1081,1
-129,-69,-1665,572,-122,-1462,-6384,75,1081,1
-129,-69,-1665,55,-381,52,-6384,75,1081,1
-129,-69,-1665,55,-381,52,-278,75,1081,1
-57,52,-1569,635,-473,-1405,80,154,1093,5
-57,52,-1569,635,-473,-1405,74,145,1069,5
-57,52,-1569,644,-456,-1385,74,145,1069,5
-429,142,-20,646,-488,-1393,36,155,1076,5
-429,142,-20,646,-488,-1393,35,104,1121,5
-429,142,-20,625,-439,-35,35,104,1121,5
-133,135,-9,625,-439,-35,35,104,1121,5
-133,135,-9,629,-439,-1353,35,104,1121,5
-133,135,-9,629,-439,-1353,52,118,1119,5
-133,135,-9,628,-437,-1352,52,118,1119,5
-97,89,-26,628,-437,-1352,52,118,1119,5
-97,89,-26,628,-437,-1352,35,99,1101,5
-97,89,-26,625,-430,-1336,35,99,1101,5
-78,101,30,625,-430,-1336,35,99,1101,5
-78,101,30,625,-430,-1336,47,110,1111,5
-78,101,30,626,-456,-46,47,110,1111,5
-78,128,38,625,-451,-1338,36,99,1132,5
-78,128,38,643,-458,-41,36,99,1132,5
-78,128,38,643,-458,-41,31,115,1120,5
-57,150,3,643,-458,-41,31,115,1120,5
-57,150,3,630,-467,-45,31,115,1120,5
-57,150,3,630,-467,-45,37,122,1123,5
-65,139,33,630,-467,-45,37,122,1123,5
-65,139,33,646,-468,-42,37,122,1123,5
-65,139,33,646,-468,-42,38,117,1114,5
-551,119,34,651,-460,-1345,50,118,1115,5
-551,119,34,651,-460,-1345,40,122,1128,5
-551,119,34,624,-465,-13,40,122,1128,5
