0,-41,26,10,-32,524,0
0,-41,26,3,-29,523,0
0,-41,26,14,-27,-37,0
-24,-10,31,0,-41,-5,0
-24,-10,31,-1512,-34,-9,0
-24,-10,31,9,-38,-6,0
-29,-36,11,12,-33,531,0
-29,-36,11,-1518,-31,-22,0
-29,-36,11,-1508,-54,-5,0
2,47,-22,-4,-31,-7,0
2,-2,79,-4,-31,-7,0
-7,-48,1,14,-33,522,0
-7,-48,1,3,-30,-4,0
-7,-48,1,10,-37,529,0
-23,-26,11,3,-17,543,0
-23,-26,11,-7,-1,-28,0
-23,-26,11,3,-14,2,0
-10,-3,-11,12,3,-28,0
-10,-3,-11,-2,-12,-9,0
-10,10,-14,-2,-12,-9,0
-5,-2,-3,-2,-12,-9,0
-5,-2,-3,5,1,-21,0
-14,-4,8,5,1,-21,0
-14,-4,8,-1,5,-3,0
-6,-20,25,-1,5,-3,0
-6,-20,25,10,-9,-18,0
-13,-17,6,10,-9,-18,0
-13,-17,6,-1,5,-26,0
-14,3,5,-1,5,-26,0
-14,3,5,5,0,-23,0
-8,-1,7,5,0,-23,0
14,20,5,5,0,-23,0
14,20,5,-11,26,-28,0
-7,3,9,-11,26,-28,0
-7,3,9,0,-10,-3,0
2,8,20,0,-10,-3,0
2,8,20,-3,0,-22,0
-14,-6,0,-3,0,-22,0
-14,-6,0,7,3,-4,0
-10,20,9,7,3,-4,0
-10,20,9,7,4,1,0
-15,5,15,7,4,1,0
-15,5,15,-1509,-55,527,0
-19,-62,5,-1509,-55,527,0
-19,-62,5,-1494,-49,-15,0
-27,-35,-4,11,-52,533,0
-27,-35,-4,3,-40,522,0
-25,-34,3,3,-40,522,0
-25,-34,3,14,-54,-9,0
-1,-12,29,-1516,-35,-9,0
-1,-12,29,-1511,-32,-28,0
2,-27,-18,-1511,-32,-28,0
2,-27,-18,1,-20,-5,0
-7,-23,15,1,-20,-5,0
-13,-31,25,1,-20,-5,0
-13,-31,25,12,-17,524,0
-8,-11,5,12,-17,524,0
-8,-11,5,-11,-11,-21,0
-14,-9,14,-11,-11,-21,0
-14,-9,14,-4,-9,-4,0
-15,-28,18,-4,-9,-4,0
-15,-28,18,2,-21,-25,0
-4,-22,22,2,-21,-25,0
-4,-22,22,0,-8,528,0
-24,-25,8,0,-8,528,0
-17,-16,24,0,-8,528,0
-17,-16,24,8,-20,5,0
-3,-18,10,8,-20,5,0
-3,-18,10,14,-14,-18,0
-12,-10,-12,14,-14,-18,0
-12,-10,-12,10,-10,529,0
-7,-14,22,10,-10,529,0
-7,-14,22,4,-23,526,0
-11,-26,38,4,-23,526,0
-11,-26,38,8,-20,5,0
-9,-34,-1,8,-20,5,0
-15,-17,-8,8,-20,5,0
-15,-17,-8,5,-13,-23,0
-3,-17,32,5,-13,-23,0
-3,-17,32,0,-3,3,0
-5,-21,49,0,-3,3,0
-5,-21,49,10,-21,-4,0
0,-14,-6,10,-21,-4,0
0,-14,-6,4,-20,4,0
-7,-19,12,4,-20,4,0
-7,-19,12,5,-11,-3,0
-3,-28,3,5,-11,-3,0
-5,3,23,5,-11,-3,0
-5,3,23,7,-23,6,0
-10,-18,32,7,-23,6,0
