-14,-32,15,38,-1522,-18,-22,1522,0
-17,-25,-10,32,-1522,-18,-22,1522,0
-17,-25,-10,32,-1,-14,-26,30,0
-12,-27,14,33,-1,-14,-26,30,0
-12,-27,14,33,-1511,-41,-36,1512,0
-21,-42,23,52,-1511,-41,-36,1512,0
-21,-42,23,52,-1526,-30,-26,1527,0
-14,-15,21,29,-1526,-30,-26,1527,0
-17,-41,30,54,-1526,-30,-26,1527,0
-17,-41,30,54,-1522,-35,-4,1522,0
-9,-18,18,27,-1522,-35,-4,1522,0
-9,-18,18,27,-1522,-31,-24,1523,0
-24,-27,36,51,-1522,-31,-24,1523,0
-24,-27,36,51,-1524,-25,-37,1525,0
-18,-29,9,35,-1524,-25,-37,1525,0
-18,-29,9,35,2,-21,-41,46,0
-10,-4,14,18,2,-21,-41,46,0
-10,-4,14,18,-1523,-15,-34,1523,0
-19,-25,20,37,-1523,-15,-34,1523,0
-9,-22,8,25,-1523,-15,-34,1523,0
-9,-22,8,25,-6,-17,-6,19,0
-7,-11,25,28,-6,-17,-6,19,0
-7,-11,25,28,-1530,-14,-34,1530,0
0,-3,24,24,-1530,-14,-34,1530,0
0,-3,24,24,3,-14,-27,31,0
6,5,31,32,3,-14,-27,31,0
6,5,31,32,0,-7,-48,49,0
-13,3,53,55,0,-7,-48,49,0
-13,3,53,55,-1517,-7,-15,1517,0
-14,-17,20,30,-1517,-7,-15,1517,0
-1,-10,1,10,-1517,-7,-15,1517,0
-1,-10,1,10,-1525,27,-16,1525,0
-11,-39,2,41,-1525,27,-16,1525,0
-11,-39,2,41,-1525,-14,-29,1525,0
-14,-35,5,38,-1525,-14,-29,1525,0
-14,-35,5,38,-1514,-46,-28,1515,0
-14,-57,9,59,-1514,-46,-28,1515,0
-14,-57,9,59,-1524,-55,21,1525,0
-17,-35,-4,39,-1524,-55,21,1525,0
-10,-42,7,44,-1524,-55,21,1525,0
-10,-42,7,44,-1525,-41,2,1526,0
-25,-19,-23,39,-1525,-41,2,1526,0
-25,-19,-23,39,-1529,-8,21,1529,0
-2,-33,-20,39,-1529,-8,21,1529,0
-2,-33,-20,39,-1526,-32,547,1621,0
-21,-18,-6,28,-1526,-32,547,1621,0
-21,-18,-6,28,-2,-8,5,10,0
-18,-10,8,22,-2,-8,5,10,0
-18,-10,8,22,-1514,-6,-9,1514,0
-12,-40,26,49,-1514,-6,-9,1514,0
-12,-40,26,49,-1526,2,23,1526,0
-13,-21,9,26,-1526,2,23,1526,0
-4,-8,3,9,-1526,2,23,1526,0
-4,-8,3,9,-1530,-15,-3,1530,0
-12,-30,1,32,-1530,-15,-3,1530,0
-12,-30,1,32,-1530,-21,-24,1530,0
-8,-24,-27,37,-1530,-21,-24,1530,0
-8,-24,-27,37,-1529,-22,-5,1529,0
-12,-22,15,29,-1529,-22,-5,1529,0
-12,-22,15,29,-1525,-17,539,1618,0
-4,-15,-17,23,-1525,-17,539,1618,0
-4,-15,-17,23,-1518,-24,-12,1518,0
-11,-14,12,21,-1518,-24,-12,1518,0
-11,-26,1,28,-1518,-24,-12,1518,0
-11,-26,1,28,1,-4,0,4,0
-14,-26,16,34,1,-4,0,4,0
-14,-26,16,34,3,-21,-13,25,0
5,-8,29,30,3,-21,-13,25,0
5,-8,29,30,-1518,-14,8,1518,0
-18,-10,-3,21,-1518,-14,8,1518,0
-18,-10,-3,21,3,3,-10,11,0
3,-4,-5,7,3,3,-10,11,0
3,-4,-5,7,-7,4,18,20,0
2,-20,-12,23,-7,4,18,20,0
-7,-17,-30,35,-7,4,18,20,0
-7,-17,-30,35,2,1,-20,20,0
-11,-19,7,23,2,1,-20,20,0
-11,-19,7,23,0,-6,1,6,0
-1,-26,12,29,0,-6,1,6,0
-1,-26,12,29,-9,-11,11,18,0
-24,-2,-6,25,-9,-11,11,18,0
-24,-2,-6,25,-7,-14,-19,25,0
7,-19,21,29,-7,-14,-19,25,0
7,-19,21,29,-1522,-17,-12,1522,0
5,-24,24,34,-1522,-17,-12,1522,0
5,-24,24,34,2,2,-17,17,0
-8,-16,7,19,2,2,-17,17,0
-2,-11,17,20,2,2,-17,17,0
-2,-11,17,20,-1525,8,-16,1525,0
-9,1,6,11,-1525,8,-16,1525,0
-9,1,6,11,4,16,-41,44,0
3,7,2,8,4,16,-41,44,0
3,7,2,8,-17,16,-24,33,0
5,-2,0,5,-17,16,-24,33,0
5,-2,0,5,0,25,-23,34,0
10,37,16,42,0,25,-23,34,0
10,37,16,42,-14,59,-17,63,0
-7,28,21,36,-14,59,-17,63,0
9,34,20,40,-14,59,-17,63,0
9,34,20,40,-16,50,-33,62,0
12,51,-2,52,-16,50,-33,62,0
12,51,-2,52,-16,41,-13,46,0
26,98,20,103,-16,41,-13,46,0
26,98,20,103,-35,140,-9,145,0
27,119,-13,123,-35,140,-9,145,0
27,119,-13,123,-42,-106,536,548,0
27,111,14,115,-42,-106,536,548,0
27,111,14,115,-25,111,-36,119,0
46,96,19,108,-25,111,-36,119,0
46,96,19,108,-30,129,-35,137,0
41,123,19,131,-30,129,-35,137,0
13,74,14,76,-30,129,-35,137,0
13,74,14,76,-7,95,2,95,0
24,80,9,84,-7,95,2,95,0
24,80,9,84,-25,102,-5,105,0
17,40,-1,43,-25,102,-5,105,0
17,40,-1,43,-14,50,-27,59,0
13,48,23,55,-14,50,-27,59,0
13,48,23,55,-35,75,6,83,0
26,64,14,70,-35,75,6,83,0
26,64,14,70,-23,76,-28,84,0
35,77,29,89,-23,76,-28,84,0
35,77,29,89,-14,99,-7,100,0
36,110,18,117,-14,99,-7,100,0
40,115,16,123,-14,99,-7,100,0
40,115,16,123,-28,122,5,125,0
37,104,-11,111,-28,122,5,125,0
37,104,-11,111,-23,105,-40,115,0
36,95,-3,102,-23,105,-40,115,0
36,95,-3,102,-18,102,1,104,0
30,102,-4,106,-18,102,1,104,0
30,102,-4,106,-21,103,-21,107,0
24,89,-12,93,-21,103,-21,107,0
24,89,-12,93,-30,106,546,557,0
42,98,-1,107,-30,106,546,557,0
26,88,-4,92,-30,106,546,557,0
26,88,-4,92,-31,94,-9,99,0
20,109,4,111,-31,94,-9,99,0
20,109,4,111,-35,109,11,115,0
20,77,5,80,-35,109,11,115,0
20,77,5,80,-23,104,-15,108,0
17,87,-5,89,-23,104,-15,108,0
17,87,-5,89,-16,96,18,99,0
23,90,-5,93,-16,96,18,99,0
23,90,-5,93,-36,106,14,113,0
30,95,-11,100,-36,106,14,113,0
30,95,-11,100,-24,115,15,118,0
33,103,4,108,-24,115,15,118,0
24,96,9,99,-24,115,15,118,0
24,96,9,99,-44,105,14,115,0
35,91,24,100,-44,105,14,115,0
35,91,24,100,-36,114,-5,120,0
40,94,-2,102,-36,114,-5,120,0
40,94,-2,102,-27,118,-13,122,0
43,120,-15,128,-27,118,-13,122,0
43,120,-15,128,-54,136,17,147,0
37,112,-19,119,-54,136,17,147,0
37,112,-19,119,-30,124,8,128,0
36,104,-21,112,-30,124,8,128,0
33,67,-4,75,-30,124,8,128,0
33,67,-4,75,-44,120,17,129,0
16,64,17,68,-44,120,17,129,0
16,64,17,68,-10,84,1,85,0
16,56,-4,58,-10,84,1,85,0
16,56,-4,58,-16,65,3,67,0
27,82,-16,88,-16,65,3,67,0
27,82,-16,88,-24,130,-28,135,0
30,79,7,85,-24,130,-28,135,0
30,79,7,85,-18,103,1,105,0
29,109,11,113,-18,103,1,105,0
29,109,11,113,-12,133,19,135,0
39,108,14,116,-12,133,19,135,0
34,110,-37,121,-12,133,19,135,0
34,110,-37,121,-38,136,540,558,0
53,99,-8,113,-38,136,540,558,0
53,99,-8,113,-14,133,539,555,0
37,115,-10,121,-14,133,539,555,0
37,115,-10,121,-19,123,20,126,0
31,111,-25,118,-19,123,20,126,0
31,111,-25,118,-33,137,6,141,0
43,115,-21,125,-33,137,6,141,0
43,115,-21,125,-29,134,10,137,0
46,123,10,132,-29,134,10,137,0
41,119,-12,126,-29,134,10,137,0
41,119,-12,126,-17,144,-27,147,0
43,129,9,136,-17,144,-27,147,0
43,129,9,136,-38,127,-6,133,0
33,119,-16,125,-38,127,-6,133,0
33,119,-16,125,-42,128,3,135,0
43,126,-5,133,-42,128,3,135,0
43,126,-5,133,-33,133,14,138,0
57,113,-16,128,-33,133,14,138,0
57,113,-16,128,-24,134,-5,136,0
48,133,-14,142,-24,134,-5,136,0
48,133,-14,142,-24,132,-1,134,0
34,126,-21,132,-24,132,-1,134,0
41,123,-13,130,-24,132,-1,134,0
41,123,-13,130,-34,137,6,141,0
36,134,-22,140,-34,137,6,141,0
36,134,-22,140,-18,-94,18,97,0
700,-36,-1451,1611,-52,-6088,-783,6138,1
712,17,-1449,1615,-52,-6088,-783,6138,1
713,-50,17,715,-52,-6088,-783,6138,1
713,-50,17,715,112,1897,587,1989,1
-47,16,-1461,1462,112,1897,587,1989,1
-47,16,-1461,1462,-59,-64,271,285,1
-32,-68,0,75,-59,-64,271,285,1
-32,-68,0,75,803,551,625,1157,1
