,45.x,45.y,45.z,47.x,47.y,47.z,49.x,49.y,49.z
,0.0,-117.0,-1434.0,-99.0,-81.0,-101.0,281.0,-117.0,-82.0
,-50.0,-68.0,-1465.0,-116.0,-102.0,-112.0,264.0,-137.0,-71.0
,-61.0,-13.5,-1481.0,343.0,516.0,-1462.0,-10.0,-252.0,-17.0
,18.0,-87.5,-778.5,-120.0,-45.0,-1427.0,277.5,-175.5,-52.5
,-24.0,-78.0,-1490.0,324.0,558.0,-1431.0,-26.0,-21.0,-56.0
,-30.0,-17.0,-1487.0,371.0,-9.0,-1415.0,-2.0,-208.0,-52.0
,16.0,-57.0,-125.0,-116.0,-40.0,-1436.0,286.5,-178.5,-41.5
,-17.0,-37.0,-1434.0,-121.0,-61.0,-1417.0,283.0,-144.0,-22.0
,41.5,-101.0,-123.0,-101.0,-71.0,-1429.0,306.0,-118.0,-32.0
,45.0,-89.0,-62.5,-111.0,-85.0,-1434.0,315.0,-108.0,-13.0
,39.0,-81.0,-1425.0,-93.0,-72.0,-1422.0,289.0,-157.0,-31.0
,39.0,-112.0,-768.5,-67.0,-104.0,-1456.0,320.5,-97.0,-527.0
,37.0,-93.0,-126.0,-101.0,-73.0,-1446.0,288.0,-140.0,-18.0
,-1.0,-82.0,-1424.0,-117.5,-69.0,-1425.0,284.0,-168.0,-36.0
,13.0,-77.0,-121.0,-123.0,-85.0,-1418.0,289.0,-173.0,-54.0
,19.0,-93.0,-1424.0,-118.0,-85.0,-1428.0,278.0,-154.0,-29.0
,10.0,-79.0,-1433.0,-115.0,-67.0,-1434.0,280.0,-166.0,-53.0
,15.0,-88.0,-1439.0,-124.0,-69.5,-119.0,291.0,-153.0,-33.0
,30.0,-94.0,-118.0,-120.0,-87.0,-120.0,277.0,-147.0,-70.0
,30.0,-111.0,-110.0,-101.0,-103.0,-1440.0,293.0,-128.0,-44.0
,54.0,-105.0,-114.0,-91.0,-102.0,-1420.0,295.5,-125.5,-32.5
,53.0,-118.0,-120.0,-89.0,-90.5,-1471.0,322.0,-142.0,-1016.0
,58.0,-116.0,-127.0,-86.0,-91.0,-1454.0,314.0,-126.0,-512.0
,40.0,-115.0,-1409.0,-96.0,-96.0,-1441.0,306.5,-124.5,-22.0
,44.0,-142.0,-106.0,-85.0,-110.0,-1452.0,313.0,-111.0,-8.5
,60.0,-119.0,-91.0,-82.0,-122.0,-1435.0,311.0,-102.0,-3.0
,64.0,-128.0,-104.0,-85.0,374.0,-1444.0,336.0,-80.0,-1021.0
,59.0,-118.0,-94.0,-78.0,382.0,-1463.0,320.0,-82.0,-1019.0
,82.0,-121.0,-72.0,-64.0,375.0,-1443.0,318.0,-75.0,-22.0
,67.0,-112.0,-71.0,-51.0,372.0,-1431.0,320.0,-72.0,-520.0
,60.0,-87.0,-88.0,-73.0,360.0,-1425.0,314.0,-79.0,-7.0
,56.0,-89.0,-86.0,-69.0,364.0,-1426.0,310.0,-83.0,-59.5
,28.0,-53.0,-79.0,-88.0,372.0,-1413.0,301.5,-82.0,-63.5
,52.0,-97.0,-83.0,-75.0,354.0,-1450.0,303.0,-56.0,-54.0
,61.0,-74.0,-70.0,-73.0,350.0,-1424.0,309.0,-61.0,-73.0
,48.0,-94.0,-90.0,-85.0,347.0,-1418.0,312.0,-56.0,-44.0
,49.0,-40.0,-116.0,341.0,-36.0,-1440.0,-4.0,-228.0,-35.0
,33.0,-38.0,-110.0,-100.0,-94.0,-127.5,277.0,-165.0,-73.0
,42.0,-61.0,-103.0,-100.0,-113.0,-125.0,290.0,-139.0,-75.0
,48.0,-84.0,-98.0,-96.0,-116.0,-123.0,296.0,-128.0,-71.0
,56.0,-85.0,-1409.0,-93.0,-99.0,-1439.0,292.0,-152.0,-33.0
,49.0,-69.0,-78.0,-93.0,-121.0,-1423.0,302.5,-115.0,-64.0
,-39.0,-83.0,-1503.0,-41.0,342.0,-1437.0,327.0,-66.0,-30.0
,45.0,-159.0,-1418.0,-89.0,-74.0,-1508.0,306.0,-190.0,-991.0
,42.5,-172.5,-766.5,-76.0,-67.0,-1522.0,300.0,-185.0,-958.0
,71.0,-186.0,-1432.0,-85.0,-73.0,-4.0,309.0,-173.0,-967.0
,62.5,-180.5,-779.0,-83.0,-70.0,-1514.0,312.5,-165.0,-987.5
,67.0,-170.0,-1412.0,-85.0,-99.0,-1516.0,314.5,-148.5,-991.0
,57.0,-173.0,-127.0,-73.0,-77.0,-1530.0,307.5,-153.0,-983.0
,52.0,-169.0,-125.0,-85.0,-78.0,-1507.0,309.0,-170.0,-15.0
,53.0,-160.0,-117.0,-81.0,-77.0,-1515.0,306.0,-157.0,-997.0
,58.0,-163.0,-1413.0,-74.0,-84.0,-1523.0,316.0,-160.0,-990.0
,57.0,-166.0,-119.0,-66.0,-82.0,-1517.0,311.0,-169.5,-1006.5
,38.0,-93.0,-1422.0,-110.0,-69.0,-1463.0,296.5,-142.5,-19.5
,41.0,-86.0,-83.0,-85.0,-111.0,-1449.0,295.0,-97.0,-42.0
,52.0,-78.0,-96.0,-92.5,-116.5,-1425.0,293.0,-98.0,-40.0
,53.0,-112.0,-82.0,-80.0,-99.0,-1445.0,301.0,-125.0,-35.0
,57.0,-87.0,-32.0,-81.0,374.0,-1431.0,311.0,-91.0,-25.0
,77.0,-97.0,-58.0,-69.0,351.0,-1444.0,312.0,-75.0,-43.0
,70.0,-65.0,-35.0,-72.0,335.0,-1417.0,307.0,-54.0,-61.0
