,45.x,45.y,45.z,47.x,47.y,47.z,49.x,49.y,49.z
,-40.0,-87.0,-1506.0,365.0,-6.0,-1458.0,256.0,-233.0,-17.0
,-53.0,-123.0,-13.0,334.5,568.0,-1472.0,-31.0,-29.0,-994.0
,-8.0,-110.0,-1496.0,-94.0,-117.0,-98.0,256.0,-246.0,-1005.0
,30.0,-41.0,-106.0,-92.5,-117.0,-115.0,270.0,-136.0,-68.0
,-59.0,-99.0,-46.0,342.0,557.0,-1439.0,-10.0,-188.0,-33.0
,11.0,-83.0,-1460.0,362.0,-27.0,-126.0,264.0,-197.0,-38.0
,-40.0,-100.0,-1514.0,338.0,551.0,-1422.0,-19.0,-10.0,-1009.0
,-37.0,-50.0,-1472.0,342.0,517.0,-123.0,-18.0,-255.0,-61.0
,-22.0,-77.0,-1465.0,356.0,-31.0,-128.0,-17.0,-222.0,-60.0
,2.0,-73.0,-1457.0,373.0,-44.5,-103.0,-3.0,-191.0,-70.0
,-52.0,-59.0,-1524.0,354.0,-14.0,-89.0,-30.0,-239.0,-80.0
,-42.0,-111.0,-30.0,361.0,525.0,-118.0,-21.0,-246.0,-40.0
,-6.0,-102.0,-1481.0,372.0,-13.0,-111.0,-13.0,-235.0,-47.0
,-12.0,-112.0,-1494.0,379.0,-48.0,-117.0,-3.0,-188.0,-71.0
,-22.0,-117.0,-1522.0,367.0,-15.0,-108.0,-23.0,-232.0,-55.0
,-33.0,-95.0,-1467.0,346.0,532.0,-101.0,-34.0,-228.0,-94.0
,-65.0,-63.0,-4.0,320.0,562.0,-1409.0,-43.0,-29.0,-47.0
,-27.0,-122.0,-1506.0,371.0,526.0,-1427.0,270.0,-242.0,-15.0
,-22.0,-159.0,-3.0,361.0,526.0,-1448.0,-10.0,-239.0,-995.0
,-67.0,-85.0,-1524.0,336.0,556.0,-120.0,-45.0,-48.0,-22.0
,-23.5,-97.0,-1510.0,363.0,530.0,-1419.0,-6.0,-4.0,-48.0
,-50.0,-106.0,-28.0,336.0,547.0,-1431.0,-29.5,-13.0,-22.0
,-20.0,-22.0,-1454.0,361.0,523.0,-104.0,-22.0,-226.0,-55.0
,-18.0,-96.0,-1475.0,-108.0,520.0,-1475.0,260.0,-211.0,-981.0
,-27.0,-56.0,-1486.0,-116.0,-40.0,-92.0,260.0,-206.0,-97.0
,2.0,-86.0,-1462.0,-114.0,-47.0,-106.0,258.0,-185.0,-72.0
,28.0,-111.0,-1464.0,-114.0,-30.0,-1452.0,287.0,-195.0,-77.0
,-18.0,-159.0,-1498.0,360.0,543.0,-1474.0,-32.0,-160.0,-51.0
