-26,-17,24,39,-6,21,45,50,0
724,-68,21,727,21,2,37,43,0
710,-81,10,715,40,-4,575,576,0
-33,-49,-10,60,15,21,40,48,0
720,-67,9,723,13,10,29,33,0
-33,-48,31,66,19,1,6,20,0
5,-11,-1457,1457,1514,59,-24,1515,0
-15,-40,40,59,1512,53,18,1513,0
-10,-15,22,28,-10,41,8,43,0
-12,-22,37,45,-10,35,24,44,0
680,-11,53,682,1485,-1335,29,1997,1
691,20,19,692,1430,-1691,695,2321,1
694,-18,28,695,1492,21,505,1575,1
669,-61,59,674,1602,-2436,648,2987,1
655,-76,-1445,1588,1502,-1909,600,2502,1
660,-48,58,664,1906,-1622,241,2514,1
711,6,-1414,1583,1640,-1077,629,2060,1
682,-18,-1430,1584,1481,-1906,238,2425,1
700,-7,59,703,2376,-1655,-27,2896,1
700,-25,-1461,1620,1429,-33,204,1444,1
58,53,-1376,1378,1513,-59,604,1630,2
31,-8,-1390,1390,278,-135,23,310,2
37,-26,-1422,1423,261,-87,588,649,2
71,-10,-1381,1383,1522,-102,627,1649,2
38,-43,-1366,1367,253,-125,644,703,2
27,-64,-45,83,1513,-160,625,1645,2
81,-6,-1338,1340,1483,-78,639,1617,2
24,-51,-1402,1403,246,-134,633,692,2
64,20,-1349,1351,1485,-39,589,1598,2
607,7,-23,607,1461,-50,645,1598,2
-914,316,60,969,55,60,588,594,3
-644,-62,-627,901,104,-57,49,128,3
-907,-61,65,911,105,-82,577,592,3
-565,374,-673,955,80,-5,580,586,3
-29,-32,18,47,80,-33,38,95,3
-902,554,-48,1060,85,-28,29,94,3
49,282,-684,741,72,23,55,93,3
-19,589,-621,856,43,39,-32,66,3
20,142,7,144,63,21,48,82,3
17,150,40,156,69,-6,-33,77,3
696,21,23,697,-372,-3,652,751,4
683,-8,-4,683,1494,29,637,1624,4
680,-23,55,683,1422,-2602,-1338,3253,4
674,-43,-1455,1604,-2455,-1873,-1484,3426,4
631,-51,35,634,1508,-1155,601,1992,4
667,-19,55,670,1515,-1620,-1021,2442,4
663,-3,59,666,-1284,38,606,1420,4
629,-43,52,633,1479,-28,656,1618,4
674,-12,64,677,-944,40,611,1125,4
688,-12,59,691,1429,90,-725,1605,4
27,-39,4,48,1462,-93,-54,1466,5
31,-37,39,62,1431,-120,671,1585,5
34,-60,-41,80,1436,-77,9,1438,5
21,-82,-1438,1440,1487,-106,32,1491,5
30,-59,-1448,1450,1485,-138,49,1492,5
43,-35,-1453,1454,1469,-145,18,1476,5
34,-49,-1450,1451,1459,-137,34,1466,5
612,-131,57,628,2673,-1372,1062,3187,5
43,-49,-1368,1370,1414,-76,26,1416,5
40,-33,-1406,1407,1412,-93,13,1415,5
43,-6,57,72,71,23,-4,75,6
70,15,-2655,2656,75,27,-44,91,6
389,-1487,48,1538,81,17,671,676,6
455,-1239,-2166,2536,88,-46,-50,111,6
617,-97,-2148,2237,103,-32,9,108,6
391,1,-1851,1892,78,-48,26,95,6
403,17,-1934,1976,78,-55,-20,98,6
-33,-94,-52,112,77,15,578,583,6
628,6,-18,628,70,9,-46,84,6
688,-1200,-2220,2616,73,-1,-18,75,6
