97,22,19,-1121,-95,-421,2
93,1618,-403,-1609,541,-44,3
95,37,-20,34,-90,9,2
473,-75,34,-1615,12,-69,3
100,615,-12,-6,620,-15,4
101,611,5,-1,608,-9,4
41,20,-1105,-2903,-23,-27,0
40,19,-65,-20,-45,1,0
99,581,2,7,565,-38,4
630,1402,29,-55,13,-47,3
94,596,7,-11,574,-31,4
100,35,-56,-839,1113,-69,2
1902,-55,-2395,-34,2,-1126,1
27,1335,-58,-49,-24,-71,3
84,30,26,9,560,-81,4
747,16,36,-30,-17,-1124,3
39,-8,-65,36,-51,-90,0
878,580,-20,4,581,-39,4
2006,-56,-65,-24,-28,-92,1
104,580,20,-21,565,-41,4
38,-2,-70,-49,1,-77,3
27,1361,-843,-45,-6,-47,3
109,587,-965,26,587,-27,4
30,21,-72,-2706,-93,-2672,0
1698,641,-38,-20,-23,-1179,1
1745,51,43,-33,-24,-1162,1
48,-10,-1100,-2657,2146,-62,0
30,-60,-61,22,-17,-2694,0
95,-49,-52,-59,-23,-1162,1
26,4,-1101,-2727,-26,-2675,0
70,-1,2,27,9,-4,2
457,1447,-611,-1605,-4,-76,3
23,-58,-589,-1609,-7,-75,3
1973,-13,-2452,-15,570,-1162,1
82,617,24,25,626,-5,4
60,31,21,-24,1063,5,2
70,32,-23,61,1138,-699,2
81,50,-31,54,1131,-632,2
49,7,-1107,-3167,3175,27,0
42,4,-70,61,3176,-42,0
60,321,-590,-49,-10,-1131,1
107,421,-2470,-33,-40,-1188,1
101,435,-2475,-21,-19,-1166,1
68,586,47,11,590,-74,4
57,-23,10,-37,1076,-84,2
461,18,-387,-55,531,-39,3
51,20,-1105,48,-86,-2454,0
83,30,-12,-890,1112,-644,2
71,21,-2,-936,4,-7,2
2,-14,-2408,-38,527,-1118,1
