124,991,-700,84,7,753,4
15,959,-695,107,-8,760,4
19,152,-1212,-24,-439,18,5
-10,-727,-1114,-912,-622,747,3
828,-696,-2,-20,-390,1,5
30,-94,-3,-2266,-6532,-401,1
22,945,0,31,-352,740,4
813,2,-1211,-900,27,634,3
1390,445,-1934,37,-73,13,2
2,-9,26,541,26,648,1
20,-665,9,-37,-411,720,5
1381,-684,-2130,-1,-373,749,2
5,-652,-1222,-1,-404,685,5
831,9,7,-48,-1149,733,3
814,-20,-1200,-45,-25,618,3
880,-712,-1358,-56,-451,87,5
32,-56,-29,-156,-2400,704,1
844,-51,36,-113,-900,853,3
75,995,-13,71,-10,-5,4
832,6,-9,-922,2,786,3
380,1036,-610,54,-65,685,4
-2,-710,-1357,58,-33,676,2
28,-13,-43,-74,-3185,664,1
815,-11,-24,7,-51,660,1
817,-35,-60,334,-63,654,1
842,-26,8,-900,-878,753,3
845,-699,26,-26,-414,682,5
839,-3,-1213,11,-880,668,3
36,-22,3,-193,-7,10,1
1444,517,-11,75,-10,714,2
33,-661,-1172,-10,-441,30,5
334,991,-888,100,-5,4,4
845,-46,46,-17,-938,704,3
-28,444,-43,54,-66,733,2
-51,-741,-1121,84,-27,744,4
816,-28,-73,905,-34,678,1
-23,519,-2215,54,-42,692,2
-30,151,20,-17,-416,671,5
1,-662,-1217,-28,-456,723,5
24,-41,-41,695,-1024,160,1
854,-738,22,34,-76,-6,5
1330,785,-60,79,3,760,2
-13,-720,39,58,5,664,2
90,134,-30,76,-56,73,4
-384,-695,-43,37,-58,4,4
25,-687,47,81,-16,681,2
19,1,23,-58,-12,-411,1
1134,444,-7,90,20,676,2
-169,966,-50,79,-20,27,4
